S.No,Registration Number,SSLC Percentage,HSC Percentage,UG Percentage,Diploma Percentage,Current CGPA,1st Semester Percentage,2nd Semester Percentage,3rd Semester Percentage,4th Semester Percentage,5th Semester Percentage,6th Semester Percentage,7th Semester Percentage,8th Semester Percentage,History Of Arrears,Standing Arrears,Placed
69,1.12E+11,77.40000153,76.66000366,0,0,7.480000019,8.31000042,7.170000076,7.480000019,7.230000019,8.390000343,0,0,0,0,0,1
70,1.12E+11,91,91.75,0,0,8.199999809,8.81000042,7.889999866,8.630000114,7.920000076,8.369999886,8.350000381,0,0,0,0,0
71,1.12E+11,94.80000305,96.91000366,0,0,8.609999657,8.920000076,8.390000343,8.430000305,8.529999733,8.590000153,8.880000114,0,0,0,0,1
72,1.12E+11,94.80000305,95,0,0,8.800000191,9.18999958,8.920000076,8.880000114,8.800000191,8.619999886,9.029999733,0,0,0,0,1
73,1.12E+11,94,93.33000183,0,0,7.849999905,8.420000076,7.849999905,7.920000076,7.5,7.179999828,8.460000038,0,0,0,0,1
74,1.12E+11,65.09999847,68,0,85,7.710000038,0,0,7.880000114,7.420000076,7.960000038,7.809999943,0,0,0,0,1
75,1.12E+11,80,75.25,0,0,8.039999962,7.960000038,8.100000381,7.800000191,7.760000229,8.319999695,8.729999542,0,0,0,0,1
76,1.12E+11,87,91,0,0,8.930000305,9.029999733,9.210000038,9.399999619,9.229999542,8.739999771,8.649999619,0,0,0,0,1
77,1.12E+11,78.80000305,90.91000366,0,0,8.029999733,8.68999958,8.5,8.140000343,7.920000076,7.510000229,8.109999657,0,8.75,0,0,1
78,1.12E+11,88.19999695,94.91000366,0,0,8.590000153,8.56000042,8.460000038,9,8.5,8.550000191,8.960000038,0,0,0,0,1
79,1.12E+11,95.09999847,94.91000366,0,0,8.239999771,9.029999733,7.960000038,8.180000305,7.920000076,8.260000229,8.460000038,0,0,0,0,1
80,1.12E+11,77.40000153,86.5,0,0,7.159999847,7.150000095,7.070000172,7.369999886,7.110000134,7.179999828,7.03000021,7.269999981,7.75,0,1,0
81,1.12E+11,86.59999847,77.75,0,0,7.429999828,7.730000019,7.75,7.179999828,6.389999866,6.920000076,8.149999619,7.400000095,8.25,2,1,1
82,1.12E+11,76,54.20000076,0,95.16000366,6.840000153,0,0,7.110000134,6.730000019,6.630000114,7.380000114,0,0,0,0,0
83,1.12E+11,92.09999847,96.83000183,0,0,8.770000458,8.680000305,8.680000305,8.960000038,8.680000305,8.81000042,9.029999733,0,0,0,0,1
84,1.12E+11,78.40000153,89.41000366,0,83.59999847,7.679999828,7.760000229,7.670000076,7.690000057,7.880000114,8.029999733,7.559999943,0,0,0,0,1
85,1.12E+11,71.40000153,0,0,94.29000092,7.849999905,0,0,7.809999943,8,7.960000038,7.960000038,0,0,0,0,1
86,1.12E+11,93.09999847,94.66000366,0,0,8.510000229,9.270000458,8.140000343,8.470000267,8.270000458,8.630000114,8.880000114,0,0,0,0,1
87,1.12E+11,74,76.41000366,0,80.04000092,7.050000191,0,0,6.809999943,6.840000153,7.139999866,7.300000191,6.5,8.25,0,0,0
88,1.12E+11,87.40000153,86.41999817,0,0,8.289999962,8.920000076,8.390000343,8.369999886,8.149999619,7.659999847,8.420000076,0,0,0,0,1
89,1.12E+11,87.19999695,87.83000183,0,0,8.210000038,8.529999733,7.75,8.260000229,7.800000191,8.520000458,8.5,0,0,0,0,1
90,1.12E+11,87.40000153,88.40000153,0,0,7.96999979,9.029999733,7.75,8.069999695,7.730000019,7.510000229,8.18999958,0,0,0,0,1
91,1.12E+11,91.80000305,93.41000366,0,0,7.800000191,8.420000076,8.25,8.100000381,7.5,7.710000038,8.5,0,0,0,0,0
92,1.12E+11,94.40000153,95.83000183,0,0,8.640000343,9.260000229,8.779999733,8.479999542,8.529999733,8.659999847,9,0,0,0,0,1
93,1.12E+11,73.40000153,85.08000183,0,0,7.340000153,8,7.130000114,7.440000057,7.010000229,7.320000172,7.619999886,0,0,0,0,1
94,1.12E+11,93.59999847,93.5,0,0,8.789999962,9.380000114,9.170000076,8.43999958,8.729999542,8.510000229,9.029999733,0,0,0,0,1
95,1.12E+11,86.40000153,82.40000153,0,0,7.619999886,8.960000038,8.569999695,6.920000076,7,7,7.760000229,0,0,1,2,1
96,1.12E+11,88.59999847,92.08000183,0,0,8.069999695,8.5,8.029999733,7.550000191,8.380000114,7.920000076,8.5,0,0,0,0,1
97,1.12E+11,87,91.69000244,0,82.29000092,7.739999771,8.18999958,7.630000114,8.029999733,7.980000019,7.25,8.039999962,0,0,0,0,1
98,1.12E+11,89.59999847,92.16000366,0,0,8.770000458,9.529999733,8.779999733,8.550000191,8.920000076,8.510000229,8.920000076,0,0,0,0,1
99,1.12E+11,90.80000305,84.09999847,0,0,7.900000095,8.800000191,8.029999733,7.880000114,7.340000153,7.480000019,8.340000153,0,0,0,0,1
